,root,d+,d-
GO:1901993,7,3,4
GO:0003014,3,1,10
GO:0010761,5,1,4
GO:0048382,5,3,1
GO:0019101,5,2,0
GO:0003189,11,2,0
GO:0014740,8,3,0
GO:0070368,9,4,0
GO:1901252,5,2,2
GO:1903430,7,3,3
GO:0060010,10,3,0
GO:2000011,7,2,0
GO:0034032,8,2,5
GO:0046041,10,2,1
GO:0071362,5,2,3
GO:1902232,13,2,1
GO:0002890,9,3,4
GO:2001226,8,3,0
GO:0006721,6,1,10
GO:1904015,7,4,0
GO:0021855,11,2,1
GO:0051345,5,2,11
GO:0045665,10,3,7
GO:0034014,5,2,1
GO:0031407,6,1,1
GO:0097368,11,1,2
GO:0050922,6,4,9
GO:0055074,5,2,1
GO:0002053,6,3,2
GO:0009191,9,2,2
GO:0009894,4,2,10
GO:0019731,8,2,2
GO:1903964,8,1,2
GO:0015916,9,5,1
GO:0007044,6,2,3
GO:1903753,10,3,0
GO:1904638,6,2,0
GO:1904591,9,3,0
GO:0050962,6,3,1
GO:0046320,9,2,3
GO:0046050,11,3,0
GO:0034115,9,4,0
GO:1904210,6,1,2
GO:0060928,11,2,0
GO:0006283,9,1,1
GO:0040008,3,2,7
GO:0007172,6,2,0
GO:0003190,10,2,2
GO:0032618,7,1,2
GO:0034382,6,1,0
GO:2000515,10,3,3
GO:0006651,8,2,1
GO:0003307,9,2,1
GO:0099625,6,1,2
GO:0000472,12,3,0
GO:0030212,7,1,2
GO:1990708,8,1,0
GO:0010519,7,2,2
GO:0010898,10,5,0
GO:2000535,6,2,1
GO:0045066,10,1,4
GO:0140633,16,1,0
GO:0003323,10,2,4
GO:0035873,9,2,1
GO:0031077,9,2,1
GO:1904837,6,1,2
GO:0097264,6,1,1
GO:0043647,6,3,4
GO:0006457,7,2,9
GO:0035854,10,2,0
GO:0071644,11,3,0
GO:0015854,7,1,1
GO:0032659,9,2,2
GO:0002895,9,3,1
GO:1905124,6,2,0
GO:0071324,6,2,1
GO:0061370,6,4,2
GO:0032490,7,3,4
GO:2000402,9,3,2
GO:0005979,9,3,2
GO:0010957,9,5,1
GO:0032353,7,4,3
GO:0033601,9,5,0
GO:0001764,8,2,8
GO:0051248,6,4,12
GO:2000383,5,2,1
GO:0042532,11,4,0
GO:1903116,6,3,3
GO:0061357,10,5,0
GO:0042451,8,3,1
GO:0045852,6,1,0
GO:2000323,12,3,0
GO:0045061,11,2,2
GO:0046038,11,3,0
GO:0031577,9,1,6
GO:0070918,10,2,4
GO:0051622,10,3,0
GO:0032984,5,2,15
GO:0010650,6,3,1
GO:1900673,4,2,1
GO:0070120,7,1,0
GO:0070729,7,1,3
GO:0098718,8,3,1
GO:0042728,5,5,1
GO:0070508,8,1,2
GO:1990683,5,1,0
GO:0071450,7,2,1
GO:0018200,7,1,5
GO:0014857,6,2,3
GO:0006532,10,3,0
GO:0061162,4,2,1
GO:1905564,8,3,0
GO:0032610,8,1,3
GO:0090325,5,3,2
GO:1905184,11,1,0
GO:0051455,11,2,0
GO:0044458,8,1,3
GO:0021554,8,1,2
GO:0002842,9,4,1
GO:0034183,10,3,2
GO:0071350,6,2,1
GO:0120032,7,3,10
GO:1900217,12,2,1
GO:1902908,8,3,1
GO:0007030,5,2,6
GO:0021914,11,3,0
GO:0061301,11,3,0
GO:0046070,11,2,1
GO:0032926,11,3,1
GO:0106106,4,2,3
GO:0030186,5,3,1
GO:0030488,11,2,8
GO:1905403,10,3,0
GO:1990755,9,1,0
GO:0042427,6,4,1
GO:0045880,8,3,1
GO:0061350,11,2,0
GO:0098751,7,2,1
GO:0070862,10,3,1
GO:0010998,12,2,3
GO:0007174,12,2,0
GO:0010626,11,3,1
