,root,d+,d-
GO:0051228,5,2,0
GO:0021664,4,2,2
GO:1903312,5,3,3
GO:1905653,3,3,1
GO:0032345,4,6,1
GO:0042482,4,3,1
GO:0086045,7,2,1
GO:1905884,5,3,0
GO:0001831,4,3,0
GO:1900078,3,4,1
GO:0048286,3,2,1
GO:0032916,5,3,0
GO:0031297,7,1,3
GO:0060816,9,1,0
GO:0002941,4,1,3
GO:0072386,5,1,1
GO:0093001,6,2,0
GO:0019100,4,3,0
GO:2000229,5,2,1
GO:0046075,7,2,1
GO:0030953,4,2,1
GO:0040036,4,3,4
GO:1903709,5,1,0
GO:0016052,4,2,7
GO:0060212,6,3,0
GO:1900748,4,3,0
GO:0072740,5,2,0
GO:0060992,4,2,0
GO:0072014,6,1,4
GO:0014737,4,3,0
GO:0097501,3,2,3
GO:0141006,5,2,0
GO:1903235,6,4,0
GO:1905532,5,3,1
GO:0021545,4,1,15
GO:1905602,5,4,0
GO:0097712,4,2,0
GO:0035633,4,1,1
GO:0072719,4,2,0
GO:1901626,4,2,1
GO:0097101,5,2,1
GO:1902952,5,3,0
GO:0060763,4,2,0
GO:1903557,4,3,4
GO:0002318,5,1,2
GO:1904434,5,2,0
GO:0006054,3,4,2
GO:0098779,6,2,1
GO:0048873,4,2,3
GO:0032834,4,5,0
GO:0033235,8,3,0
GO:0030575,6,1,3
GO:0002636,3,4,0
GO:0034086,3,2,4
GO:0072078,5,3,6
GO:0098696,3,6,0
GO:0120211,4,2,0
GO:0044571,7,1,0
GO:0044558,6,1,2
GO:0097051,5,2,0
GO:0003131,4,1,0
GO:0051085,4,2,0
GO:1903210,6,1,2
GO:0042941,4,4,0
GO:0030200,5,2,0
GO:0042278,5,2,4
GO:0038173,5,1,0
GO:1903724,4,3,0
GO:0033554,3,2,26
GO:0097530,4,1,3
GO:0002834,4,2,3
GO:0009648,5,1,2
GO:0043305,5,4,0
GO:0071403,4,1,0
GO:0019860,6,1,1
GO:0046439,6,2,1
GO:0032930,5,3,0
GO:0031086,8,1,1
GO:0070316,4,2,2
GO:0043247,5,2,5
GO:0086043,6,2,3
GO:0021860,6,2,1
GO:1903020,5,3,2
GO:1901662,5,2,0
GO:0048936,6,2,0
GO:0001522,6,1,4
GO:1902116,5,3,7
GO:0035864,5,1,1
GO:0090204,8,1,0
GO:0090234,5,3,0
GO:0090188,4,4,0
GO:0002897,5,4,0
GO:0097212,5,2,2
GO:0046949,5,3,2
GO:2001029,5,3,1
GO:0045655,6,2,2
GO:0007253,6,2,0
GO:0010189,5,4,0
GO:0061360,3,2,0
GO:0036376,4,2,2
GO:0043654,4,2,0
GO:0048280,4,3,0
